raceId,driverId,position,odds
94,31,2,20-2
94,11,3,20-3
94,15,4,20-4
94,22,5,20-5
94,23,6,20-6
94,44,7,20-7
94,4,8,20-8
94,17,9,20-9
94,14,10,20-10
94,43,11,20-11
94,21,12,20-12
94,8,13,20-13
94,18,14,20-14
94,2,15,20-15
94,32,16,20-16
94,13,17,20-17
94,46,18,20-18
94,45,19,20-19
94,47,20,20-20
95,15,1,20-1
95,23,2,20-2
95,18,3,20-3
95,4,4,20-4
95,30,5,20-5
95,8,6,20-6
95,22,7,20-7
95,11,8,20-8
95,14,9,20-9
95,31,10,20-10
95,21,11,20-11
95,17,12,20-12
95,44,13,20-13
95,32,14,20-14
95,43,15,20-15
95,13,16,20-16
95,2,17,20-17
95,45,18,20-18
95,47,19,20-19
95,46,20,20-20
96,30,1,20-1
96,11,2,20-2
96,15,3,20-3
96,8,4,20-4
96,18,5,20-5
96,4,6,20-6
96,22,7,20-7
96,31,8,20-8
96,23,9,20-9
96,44,10,20-10
96,43,11,20-11
96,32,12,20-12
96,2,13,20-13
96,17,14,20-14
96,45,15,20-15
96,13,16,20-16
96,47,17,20-17
96,14,18,20-18
96,21,19,20-19
96,46,20,20-20
97,23,1,20-1
97,18,2,20-2
97,15,3,20-3
97,31,4,20-4
97,4,5,20-5
97,30,6,20-6
97,22,7,20-7
97,8,8,20-8
97,14,9,20-9
97,32,10,20-10
97,21,11,20-11
97,43,12,20-12
97,44,13,20-13
97,17,14,20-14
97,2,15,20-15
97,10,16,20-16
97,11,17,20-17
97,47,18,20-18
97,13,19,20-19
97,46,20,20-20
98,22,1,20-1
98,30,2,20-2
98,11,3,20-3
98,18,4,20-4
98,31,5,20-5
98,23,6,20-6
98,8,7,20-7
98,44,8,20-8
98,4,9,20-9
98,17,10,20-10
98,43,11,20-11
98,14,12,20-12
98,32,13,20-13
98,21,14,20-14
98,13,15,20-15
98,2,16,20-16
98,45,17,20-17
98,46,18,20-18
98,47,19,20-19
98,15,20,20-20
99,4,1,20-1
99,30,2,20-2
99,14,3,20-3
99,18,4,20-4
99,15,5,20-5
99,31,6,20-6
99,11,7,20-7
99,48,8,20-8
99,8,9,20-9
99,22,10,20-10
99,43,11,20-11
99,17,12,20-12
99,32,13,20-13
99,44,14,20-14
99,21,15,20-15
99,13,16,20-16
99,2,17,20-17
99,45,18,20-18
99,46,19,20-19
99,47,20,20-20
100,8,1,20-1
100,22,2,20-2
100,18,3,20-3
100,30,4,20-4
100,15,5,20-5
100,4,6,20-6
100,14,7,20-7
100,31,8,20-8
100,11,9,20-9
100,17,10,20-10
100,13,11,20-11
100,44,12,20-12
100,48,13,20-13
100,43,14,20-14
100,32,15,20-15
100,45,16,20-16
100,2,17,20-17
100,46,18,20-18
100,47,19,20-19
100,21,20,20-20
101,30,1,20-1
101,31,2,20-2
101,18,3,20-3
101,8,4,20-4
101,14,5,20-5
101,4,6,20-6
101,15,7,20-7
101,22,8,20-8
101,11,9,20-9
101,44,10,20-10
101,42,11,20-11
101,17,12,20-12
101,32,13,20-13
101,21,14,20-14
101,43,15,20-15
101,13,16,20-16
101,45,17,20-17
101,2,18,20-18
101,46,19,20-19
101,47,20,20-20
102,30,1,20-1
102,22,2,20-2
102,11,3,20-3
102,18,4,20-4
102,4,5,20-5
102,42,6,20-6
102,31,7,20-7
102,21,8,20-8
102,15,9,20-9
102,8,10,20-10
102,17,11,20-11
102,14,12,20-12
102,44,13,20-13
102,32,14,20-14
102,41,15,20-15
102,2,16,20-16
102,45,17,20-17
102,47,18,20-18
102,46,19,20-19
102,13,20,20-20
103,15,1,20-1
103,30,2,20-2
103,4,3,20-3
103,14,4,20-4
103,21,5,20-5
103,22,6,20-6
103,17,7,20-7
103,13,8,20-8
103,44,9,20-9
103,8,10,20-10
103,31,11,20-11
103,18,12,20-12
103,32,13,20-13
103,42,14,20-14
103,11,15,20-15
103,2,16,20-16
103,46,17,20-17
103,47,18,20-18
103,45,19,20-19
103,41,20,20-20
104,22,1,20-1
104,31,2,20-2
104,30,3,20-3
104,4,4,20-4
104,11,5,20-5
104,18,6,20-6
104,8,7,20-7
104,42,8,20-8
104,15,9,20-9
104,14,10,20-10
104,41,11,20-11
104,17,12,20-12
104,44,13,20-13
104,32,14,20-14
104,21,15,20-15
104,13,16,20-16
104,2,17,20-17
104,45,18,20-18
104,47,19,20-19
104,46,20,20-20
105,22,1,20-1
105,8,2,20-2
105,18,3,20-3
105,13,4,20-4
105,23,5,20-5
105,4,6,20-6
105,21,7,20-7
105,44,8,20-8
105,11,9,20-9
105,14,10,20-10
105,31,11,20-11
105,17,12,20-12
105,35,13,20-13
105,41,14,20-14
105,2,15,20-15
105,32,16,20-16
105,10,17,20-17
105,47,18,20-18
105,46,19,20-19
105,30,20,20-20
106,30,1,20-1
106,23,2,20-2
106,17,3,20-3
106,11,4,20-4
106,18,5,20-5
106,15,6,20-6
106,21,7,20-7
106,14,8,20-8
106,35,9,20-9
106,44,10,20-10
106,4,11,20-11
106,8,12,20-12
106,31,13,20-13
106,32,14,20-14
106,22,15,20-15
106,2,16,20-16
106,10,17,20-17
106,46,18,20-18
106,47,19,20-19
106,13,20,20-20
107,22,1,20-1
107,31,2,20-2
107,8,3,20-3
107,13,4,20-4
107,18,5,20-5
107,11,6,20-6
107,23,7,20-7
107,30,8,20-8
107,4,9,20-9
107,15,10,20-10
107,21,11,20-11
107,17,12,20-12
107,14,13,20-13
107,35,14,20-14
107,41,15,20-15
107,32,16,20-16
107,2,17,20-17
107,10,18,20-18
107,47,19,20-19
107,46,20,20-20
108,30,1,20-1
108,22,2,20-2
108,31,3,20-3
108,49,4,20-4
108,44,5,20-5
108,35,6,20-6
108,2,7,20-7
108,18,8,20-8
108,23,9,20-9
108,4,10,20-10
108,14,11,20-11
108,15,12,20-12
108,21,13,20-13
108,17,14,20-14
108,8,15,20-15
108,43,16,20-16
108,52,17,20-17
108,42,18,20-18
108,51,19,20-19
108,50,20,20-20
109,4,1,20-1
109,15,2,20-2
109,30,3,20-3
109,14,4,20-4
109,22,5,20-5
109,2,6,20-6
109,8,7,20-7
109,31,8,20-8
109,18,9,20-9
109,44,10,20-10
109,43,11,20-11
109,35,12,20-12
109,49,13,20-13
109,21,14,20-14
109,42,15,20-15
109,17,16,20-16
109,23,17,20-17
109,50,18,20-18
109,51,19,20-19
109,52,20,20-20
110,22,1,20-1
110,14,2,20-2
110,17,3,20-3
110,8,4,20-4
110,15,5,20-5
110,23,6,20-6
110,30,7,20-7
110,21,8,20-8
110,31,9,20-9
110,4,10,20-10
110,18,11,20-11
110,2,12,20-12
110,35,13,20-13
110,49,14,20-14
110,44,15,20-15
110,52,16,20-16
110,42,17,20-17
110,43,18,20-18
110,50,19,20-19
110,51,20,20-20
111,30,1,20-1
111,23,2,20-2
111,22,3,20-3
111,31,4,20-4
111,17,5,20-5
111,8,6,20-6
111,35,7,20-7
111,4,8,20-8
111,18,9,20-9
111,44,10,20-10
111,2,11,20-11
111,14,12,20-12
111,43,13,20-13
111,49,14,20-14
111,42,15,20-15
111,15,16,20-16
111,21,17,20-17
111,51,18,20-18
111,52,19,20-19
111,50,20,20-20
112,30,1,20-1
112,22,2,20-2
112,4,3,20-3
112,15,4,20-4
112,18,5,20-5
112,44,6,20-6
112,23,7,20-7
112,14,8,20-8
112,31,9,20-9
112,49,10,20-10
112,35,11,20-11
112,17,12,20-12
112,43,13,20-13
112,2,14,20-14
112,52,15,20-15
112,42,16,20-16
112,21,17,20-17
112,51,18,20-18
112,50,19,20-19
112,8,20,20-20
113,30,1,20-1
113,8,2,20-2
113,31,3,20-3
113,2,4,20-4
113,22,5,20-5
113,15,6,20-6
113,18,7,20-7
113,42,8,20-8
113,21,9,20-9
113,23,10,20-10
113,44,11,20-11
113,35,12,20-12
113,43,13,20-13
113,14,14,20-14
113,49,15,20-15
113,52,16,20-16
113,17,17,20-17
113,51,18,20-18
113,4,19,20-19
113,50,20,20-20
114,23,1,20-1
114,8,2,20-2
114,31,3,20-3
114,15,4,20-4
114,30,5,20-5
114,14,6,20-6
114,22,7,20-7
114,4,8,20-8
114,17,9,20-9
114,43,10,20-10
114,35,11,20-11
114,21,12,20-12
114,42,13,20-13
114,2,14,20-14
114,49,15,20-15
114,52,16,20-16
114,44,17,20-17
114,50,18,20-18
114,51,19,20-19
114,18,20,20-20
115,23,1,20-1
115,31,2,20-2
115,30,3,20-3
115,4,4,20-4
115,22,5,20-5
115,17,6,20-6
115,44,7,20-7
115,15,8,20-8
115,43,9,20-9
115,49,10,20-10
115,14,11,20-11
115,2,12,20-12
115,42,13,20-13
115,35,14,20-14
115,50,15,20-15
115,21,16,20-16
115,18,17,20-17
115,51,18,20-18
115,52,19,20-19
115,8,20,20-20
116,8,1,20-1
116,30,2,20-2
116,23,3,20-3
116,31,4,20-4
116,22,5,20-5
116,15,6,20-6
116,44,7,20-7
116,4,8,20-8
116,14,9,20-9
116,43,10,20-10
116,17,11,20-11
116,18,12,20-12
116,21,13,20-13
116,52,14,20-14
116,49,15,20-15
116,42,16,20-16
116,35,17,20-17
116,50,18,20-18
116,51,19,20-19
116,2,20,20-20
117,23,1,20-1
117,31,2,20-2
117,30,3,20-3
117,8,4,20-4
117,14,5,20-5
117,15,6,20-6
117,4,7,20-7
117,22,8,20-8
117,17,9,20-9
117,44,10,20-10
117,42,11,20-11
117,35,12,20-12
117,43,13,20-13
117,18,14,20-14
117,2,15,20-15
117,49,16,20-16
117,21,17,20-17
117,52,18,20-18
117,50,19,20-19
117,51,20,20-20
118,22,1,20-1
118,15,2,20-2
118,8,3,20-3
118,23,4,20-4
118,30,5,20-5
118,43,6,20-6
118,31,7,20-7
118,4,8,20-8
118,35,9,20-9
118,42,10,20-10
118,17,11,20-11
118,14,12,20-12
118,44,13,20-13
118,49,14,20-14
118,21,15,20-15
118,2,16,20-16
118,52,17,20-17
118,51,18,20-18
118,50,19,20-19
118,18,20,20-20
119,31,1,20-1
119,23,2,20-2
119,22,3,20-3
119,15,4,20-4
119,8,5,20-5
119,30,6,20-6
119,44,7,20-7
119,4,8,20-8
